#{"t_start": 1653930631.4645493, "env_id": "Reacher-v2"}
r,l,t
-9.086651,50,203.439063
-11.945781,50,204.234721
-15.040982,50,205.045705
-4.901388,50,205.877085
-7.298081,50,206.679153
-14.538455,50,207.478976
-7.208223,50,208.280288
-12.72803,50,209.094458
-7.485898,50,209.896868
-9.891223,50,210.780245
-8.771918,50,211.623454
-4.886834,50,212.58216
-7.146839,50,213.396551
-10.058409,50,214.260717
-12.366564,50,215.105681
-9.515722,50,215.928489
-12.316347,50,216.775285
-8.480357,50,217.744044
-6.89383,50,218.723922
-11.050696,50,219.692536
-13.10381,50,220.516361
-11.296128,50,221.364679
-16.659502,50,222.184302
-7.443022,50,223.026155
-10.518682,50,223.851976
-13.771435,50,224.674469
-8.445079,50,225.514921
-7.503355,50,226.32909
-5.711309,50,227.137848
-13.186055,50,227.93507
-13.934065,50,228.735594
-16.436289,50,229.539026
-3.695415,50,230.369025
-8.538317,50,231.175288
-17.626244,50,232.039467
-7.269461,50,232.865002
-17.993454,50,233.734899
-17.502143,50,234.728671
-6.074415,50,235.866397
-10.525357,50,236.875966
-5.455214,50,237.785941
-12.984381,50,238.740215
-25.485681,50,239.573717
-14.946067,50,240.396787
-11.184029,50,241.204929
-13.465622,50,242.115445
-13.668429,50,242.996583
-5.69619,50,243.858904
-6.696941,50,244.6905
-14.68286,50,245.500283
-14.798348,50,246.307082
-16.932311,50,247.125585
-19.349348,50,247.93703
-15.294913,50,248.746245
-14.157869,50,249.546642
-15.353319,50,250.350941
-18.491725,50,251.157885
-11.092514,50,252.076482
-11.772789,50,253.058332
-9.833414,50,254.183181
-13.963154,50,255.104518
-11.361342,50,255.925501
-11.512789,50,256.75716
-9.30226,50,257.591253
-11.287765,50,258.506356
-11.995464,50,259.412573
-15.775222,50,260.288547
-8.90878,50,261.118573
-16.799241,50,261.98964
-4.890339,50,262.841573
-11.757993,50,263.662726
-13.017295,50,264.484719
-8.6878,50,265.289793
-10.087624,50,266.094259
-7.983383,50,266.919112
-7.733279,50,267.718888
-16.862216,50,268.523718
-13.054055,50,269.496004
-14.706174,50,270.537411
-14.908222,50,271.505606
-14.944534,50,272.371585
-11.249692,50,273.173887
-10.604522,50,273.982333
-11.480863,50,274.78877
-8.091461,50,275.581219
-9.082485,50,276.390328
-7.75274,50,277.193761
-11.596796,50,278.000641
-9.760684,50,278.82214
-15.32467,50,279.631999
-9.453762,50,280.460561
-8.450813,50,281.301606
-7.733191,50,282.126574
-15.136889,50,283.115175
-13.835888,50,283.991727
-4.832918,50,284.824219
-13.62651,50,285.657233
-5.858991,50,286.696975
-16.098684,50,287.775754
-11.580902,50,288.768092
-11.144987,50,289.665603
-9.728381,50,290.509727
-12.26739,50,291.344813
-4.981144,50,292.219054
-8.001304,50,293.036464
-4.739227,50,293.851778
-9.451943,50,294.649845
-8.854143,50,295.452307
-12.125933,50,296.251782
-8.038597,50,297.054443
-14.038145,50,297.847268
-15.254812,50,298.651075
-12.262446,50,299.492311
-8.349487,50,300.300501
-2.954262,50,301.110512
-17.188391,50,301.924645
-10.273355,50,302.744152
-6.796347,50,303.664438
-7.810762,50,304.656759
-14.342389,50,305.638105
-13.198724,50,306.512431
-6.237817,50,307.338667
-13.14834,50,308.142196
-12.908151,50,308.948482
-5.078324,50,309.742436
-11.352762,50,310.653773
-7.659428,50,311.487542
-14.018438,50,312.392238
-7.849459,50,313.202462
-10.861713,50,314.014827
-8.267069,50,314.829849
-3.471335,50,315.628465
-14.363805,50,316.440781
-4.228438,50,317.247847
-8.445867,50,318.051437
-5.7826,50,318.854157
-9.296834,50,319.68206
-13.165667,50,320.514309
-9.799968,50,321.337799
-7.865408,50,322.14982
-5.887239,50,322.949793
-3.023056,50,323.76818
-14.972055,50,324.582109
-9.654929,50,325.392745
-9.730322,50,326.194979
-7.798403,50,327.00608
-9.301874,50,327.807454
-11.13627,50,328.669759
-8.41175,50,329.493516
-4.544122,50,330.342177
-3.569894,50,331.169759
-8.78063,50,331.978995
-7.89132,50,332.791405
-8.977685,50,333.610297
-11.019743,50,334.437648
-10.414348,50,335.252521
-3.339707,50,336.133389
-15.202373,50,337.123126
-7.480114,50,337.974485
-8.464952,50,338.843435
-6.077917,50,339.679571
-8.65766,50,340.537502
-11.001236,50,341.475897
-12.07996,50,342.282962
-5.143786,50,343.097972
-4.963392,50,343.91284
-11.698326,50,344.715361
-7.780139,50,345.534484
-13.077956,50,346.340575
-9.440632,50,347.157097
-8.369371,50,347.977348
-5.287729,50,348.799829
-11.22224,50,349.63007
-9.508599,50,350.494129
-11.217487,50,351.318869
-4.954911,50,352.124551
-10.091436,50,352.9447
-12.812657,50,353.771816
-10.074485,50,354.650704
-9.861691,50,355.556179
-15.406043,50,356.500217
-7.548599,50,357.342632
-9.358552,50,358.157058
-13.999943,50,358.995473
-14.017451,50,359.806779
-7.72211,50,360.673963
-13.247116,50,361.521099
-6.685498,50,362.387843
-15.664451,50,363.245971
-11.271485,50,364.143144
-8.509789,50,365.105235
-13.372034,50,366.041084
-10.024705,50,366.856813
-6.223185,50,367.682747
-7.457958,50,368.517831
-8.329696,50,369.420509
-8.781143,50,370.308052
-7.329013,50,371.167679
-9.173545,50,372.015798
-11.788127,50,372.83247
-9.715614,50,373.640707
-4.510192,50,374.454145
-6.664161,50,375.268312
-9.086833,50,376.073713
-13.900621,50,376.904438
-8.496724,50,377.739257
-5.524422,50,378.574705
-8.4589,50,379.425157
-12.534573,50,380.267619
-8.248219,50,381.122759
-10.765875,50,382.006877
-15.019338,50,382.902556
-10.219873,50,383.745074
-6.905851,50,384.571898
-8.793484,50,385.41308
-16.194407,50,386.26829
-12.63097,50,387.125142
-9.019739,50,388.031047
-3.998171,50,388.881749
-10.406057,50,389.715535
-4.054701,50,390.536378
-6.178821,50,391.352066
-9.242131,50,392.179971
-11.832822,50,393.042523
-10.55413,50,393.869061
-6.978616,50,394.719802
-7.912499,50,395.564431
-6.313892,50,396.406857
-7.438537,50,397.294694
-10.915797,50,398.176107
-4.670357,50,399.050789
-6.813324,50,399.942103
-10.60967,50,400.858192
-6.54617,50,401.674691
-4.543277,50,402.496204
-11.485784,50,403.308834
-6.671238,50,404.15044
-3.596739,50,405.004786
-10.552272,50,405.834936
-13.49833,50,406.7178
-7.636532,50,407.613408
-4.098769,50,408.43515
-10.06557,50,409.248015
-9.584343,50,410.059934
-8.141063,50,410.872256
-10.721068,50,411.685242
-6.557054,50,412.497589
-10.631429,50,413.307917
-12.261432,50,414.118376
-11.288246,50,414.93192
-9.14597,50,415.737668
-7.370243,50,416.554543
-6.688661,50,417.376595
-13.424808,50,418.176582
-6.618596,50,418.984565
-6.73702,50,419.797733
-7.565712,50,420.597806
-7.085656,50,421.428252
-8.181418,50,422.258518
-16.270948,50,423.071172
-10.143448,50,423.88399
-6.164772,50,424.684569
-8.537917,50,425.485053
-6.571827,50,426.29753
-4.373151,50,427.110938
-11.502049,50,427.979484
-7.679767,50,428.809094
-14.221164,50,429.636742
-12.612741,50,430.58414
-4.630302,50,431.743947
-10.064386,50,432.595787
-4.511447,50,433.554245
-7.496151,50,434.595401
-14.393346,50,435.506366
-4.233666,50,436.424745
-3.55359,50,437.248537
-11.709035,50,438.062981
-3.172142,50,439.069443
-7.545241,50,440.144099
-10.951941,50,441.398254
-12.653088,50,442.457652
-7.446429,50,443.416508
-10.810814,50,444.295502
-14.76837,50,445.185031
-6.312579,50,445.996192
-4.802119,50,446.798998
-3.170417,50,447.612746
-5.739713,50,448.456028
-3.398055,50,449.286342
-4.90089,50,450.12927
-5.641866,50,450.97975
-7.559594,50,451.819423
-3.169732,50,452.703196
-7.895805,50,453.5441
-5.690002,50,454.409923
-8.969075,50,455.289274
-2.883023,50,456.176341
-8.609828,50,457.18057
-5.843534,50,458.46672
-8.915698,50,459.600129
-8.556457,50,460.551378
-10.176575,50,461.406807
-3.137404,50,462.259211
-6.165157,50,463.09695
-3.586612,50,463.964365
-6.216617,50,464.796814
-5.15051,50,465.693655
-6.799169,50,466.543812
-5.147178,50,467.405656
-6.594436,50,468.356599
-5.121263,50,469.202474
-8.261789,50,470.200232
-6.606463,50,471.237707
-4.642784,50,472.362749
-7.783488,50,473.556488
-4.477411,50,474.615793
-4.318538,50,475.755358
-8.223849,50,476.856506
-8.647435,50,477.959952
-8.008622,50,479.160797
-6.736856,50,480.098381
-7.164175,50,481.04441
-7.611253,50,481.936529
-7.556969,50,482.910327
-7.101752,50,483.766321
-8.058436,50,484.666934
-6.08877,50,485.537546
-4.83084,50,486.432083
-4.919519,50,487.376585
-8.914842,50,488.259612
-8.271445,50,489.160783
-8.195329,50,490.058506
-3.542863,50,491.013395
-4.996423,50,491.870812
-7.90303,50,492.80749
-7.376331,50,493.772496
-9.741082,50,494.664584
-7.315955,50,495.845492
-7.327231,50,496.967957
-6.398063,50,498.062305
-7.250714,50,499.121248
-7.431909,50,499.983952
-5.495376,50,501.058654
-4.202489,50,502.090186
-3.979376,50,502.971488
-10.27611,50,503.972903
-5.534092,50,504.859757
-7.852535,50,505.719395
-2.818583,50,506.628723
-4.383048,50,507.471523
-3.316386,50,508.309968
-8.475016,50,509.148945
-4.627743,50,509.957766
-7.868913,50,510.75837
-4.790063,50,511.564875
-6.044128,50,512.362251
-4.499193,50,513.160896
-3.752654,50,514.07562
-5.92246,50,515.194476
-7.786912,50,516.488447
-3.557468,50,517.55868
-6.647179,50,518.67755
-6.442627,50,519.713764
-5.353133,50,520.764201
-7.933804,50,521.755803
-3.908819,50,522.67325
-8.716166,50,523.519451
-7.685967,50,524.337557
-8.314792,50,525.276479
-7.199287,50,526.188905
-6.748981,50,527.086346
-5.019914,50,528.065556
-8.671674,50,528.973516
-6.879046,50,529.839267
-9.417626,50,530.73049
-8.265177,50,531.647649
-7.021195,50,532.565521
-3.787198,50,533.677096
-9.402367,50,534.909568
-6.879136,50,536.084574
-10.537673,50,537.149849
-8.622419,50,538.08119
-13.36872,50,539.033671
-8.265723,50,539.99245
-7.435961,50,540.984159
-6.999625,50,541.888164
-6.395337,50,542.808221
-7.160261,50,543.837634
-3.264368,50,544.85216
-3.182504,50,545.885512
-3.704683,50,546.93305
-3.853269,50,548.158149
-6.073544,50,549.080153
-7.214738,50,550.045016
-11.879752,50,551.094177
-4.475974,50,552.241899
-4.869357,50,553.170544
-6.386757,50,554.207012
-7.683685,50,555.269238
-7.827954,50,556.230976
-6.214426,50,557.099626
-5.204413,50,557.915328
-8.664611,50,558.771147
-9.734,50,559.719499
-3.799209,50,560.601247
-4.523929,50,561.637166
-10.397188,50,562.562001
-7.604964,50,563.647045
-8.700841,50,564.592443
-7.016559,50,565.529461
-3.192097,50,566.496958
-6.270144,50,567.411854
-4.107902,50,568.348894
-7.277811,50,569.183378
-7.943903,50,570.121758
-9.257526,50,570.986721
-6.574715,50,571.938745
-6.157628,50,573.151995
-5.62294,50,574.287062
-5.639421,50,575.321157
-4.795413,50,576.290759
-6.913376,50,577.141074
-5.024324,50,578.021247
-5.549781,50,578.914083
-3.765655,50,579.784172
-5.341952,50,580.748099
-8.720195,50,581.611705
-9.012297,50,582.527257
-5.900053,50,583.486128
-6.043794,50,584.44843
-5.476254,50,585.456762
-3.376932,50,586.533671
-6.512624,50,587.388068
-6.401858,50,588.199712
-8.917326,50,589.025276
-7.561288,50,589.981124
-7.283981,50,591.089374
-3.787737,50,592.290831
-8.758266,50,593.57587
-8.375977,50,594.653268
-7.433309,50,595.676747
-9.890726,50,596.584393
-4.576141,50,597.579496
-5.997549,50,598.519819
-6.270302,50,599.437364
-5.853771,50,600.386062
-7.353119,50,601.235532
-3.673133,50,602.043278
-3.979999,50,602.84937
-5.827619,50,603.665377
-6.482289,50,604.480525
-8.178324,50,605.327248
-3.778159,50,606.148807
-5.00135,50,606.969049
-8.283575,50,607.774943
-6.270835,50,608.601116
-4.055682,50,609.722346
-5.888752,50,610.910602
-3.700119,50,612.061028
-6.902058,50,613.14007
-7.332876,50,614.027429
-3.149859,50,615.066605
-6.329578,50,615.97481
-5.478207,50,616.839309
-8.716488,50,617.803234
-7.177349,50,618.842958
-9.055358,50,619.782005
-9.500579,50,620.607171
-9.368663,50,621.534901
-5.409427,50,622.368265
-5.9053,50,623.209719
-5.372168,50,624.019689
-4.075827,50,624.860319
-10.394624,50,625.679646
-5.825522,50,626.499393
-5.094036,50,627.359981
-7.918714,50,628.186423
-4.997409,50,629.16104
-7.679149,50,630.276665
-9.378778,50,631.282172
-6.926465,50,632.157539
-5.392188,50,632.972135
-4.848354,50,633.802202
-10.279507,50,634.618716
-4.426083,50,635.575515
-8.739537,50,636.404359
-6.85783,50,637.238335
-8.213692,50,638.052971
-10.296354,50,638.873239
-3.779292,50,639.689355
-8.554069,50,640.520063
-4.524583,50,641.346118
-6.819809,50,642.191535
-7.883031,50,643.016622
-5.851733,50,643.850403
-4.726532,50,644.666804
-6.632629,50,645.509377
-6.393475,50,646.529555
-6.341088,50,647.576344
-5.756491,50,648.588078
-6.795909,50,649.499843
-7.441115,50,650.324636
-7.47398,50,651.144547
-8.730706,50,651.979227
-9.753004,50,652.814359
-3.416732,50,653.629683
-7.165818,50,654.456208
-5.765162,50,655.277686
-8.564532,50,656.098053
-6.024347,50,656.919021
-8.722192,50,657.748291
-5.406813,50,658.578121
-11.641761,50,659.408259
-9.183566,50,660.246365
-5.78614,50,661.069275
-8.364854,50,661.902879
-6.391382,50,662.730701
-4.610265,50,663.698361
-7.936546,50,664.783987
-6.615094,50,665.7995
-5.620611,50,666.670893
-7.263638,50,667.499451
-9.585643,50,668.331949
-5.040281,50,669.152638
-9.452998,50,669.972039
